timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698530097104,173,S01_T10_Add_Checkout_Data-1,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,8486,1035,5,5,http://localhost/cart,173,0,0
1698530097278,168,S01_T11_Confirm_Order,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,8112,930,5,5,http://localhost/thank-you,168,0,0
1698530097447,1,Debug Sampler,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,1602,0,5,5,null,0,0,0
1698530097451,328,S01_T01_Open_Home,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,11169,693,5,5,http://localhost/,328,0,0
1698530100102,312,S01_T02_Open_Tables,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,10063,907,5,5,http://localhost/tables,312,0,0
1698530102422,270,S01_T03_Open_Random_Table_Product,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,9719,940,5,5,http://localhost/products/living-room-table8,270,0,0
1698530102754,208,Add Product to Cart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Add_Product_Open_Cart_Make_Checkout 1-4,,true,,723,1017,5,5,null,0,1,100
1698530102754,208,S01_T04_Add_Product_to_Cart,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-4,text,true,,723,1017,5,5,http://localhost/wp-admin/admin-ajax.php,208,0,100
1698530103877,261,Add Product to Cart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Add_Product_Open_Cart_Make_Checkout 1-3,,true,,723,1017,5,5,null,0,2,139
1698530103878,261,S01_T04_Add_Product_to_Cart,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-3,text,true,,723,1017,5,5,http://localhost/wp-admin/admin-ajax.php,261,0,139
1698530105048,315,S01_T05_Open_Chairs,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-4,text,true,,9470,920,5,5,http://localhost/chairs,315,0,0
1698530106141,0,Debug Sampler,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-3,text,true,,1548,0,5,5,null,0,0,0
